DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131120",131120,Mk10,DS,4,0,3,97,53,16:46:51 04-Mar-2016,R,0,-64.1330,-56.9540,,,48,,401677462,-127,
"131120",131120,Mk10,DS,2,0,1,176,176,16:48:17 04-Mar-2016,P,B,-64.0960,-56.9260,,,8,,401677469,-135,
"131120",131120,Mk10,DS,4,0,1,98,52,18:24:15 04-Mar-2016,R,1,-64.0760,-56.8290,,,48,,401677466,-127,
"131120",131120,Mk10,DS,3,0,2,81,47,20:04:01 04-Mar-2016,R,A,-64.0560,-56.8420,,,6,,401677466,-120,
"131120",131120,Mk10,DS,1,0,1,,,20:03:38 04-Mar-2016,N,B,-64.0780,-56.7980,,,8,,401677473,-137,
"131120",131120,Mk10,DS,2,0,1,174,174,20:27:22 04-Mar-2016,K,B,-64.0570,-56.8370,,,6,,401677459,-126,
"131120",131120,Mk10,DS,4,0,2,130,90,22:08:05 04-Mar-2016,K,3,-64.0430,-56.8520,,,58,,401677468,-120,
"131120",131120,Mk10,DS,1,0,1,,,02:15:21 05-Mar-2016,B,B,-64.0400,-56.8070,,,8,,401677470,-132,
"131120",131120,Mk10,DS,1,0,0,,,02:42:36 05-Mar-2016,N,B,-64.0450,-56.8600,,,6,,401677479,-133,
"131120",131120,Mk10,DS,4,0,3,135,47,02:52:05 05-Mar-2016,P,2,-63.9390,-56.9570,,,58,,401677467,-128,
"131120",131120,Mk10,DS,1,0,1,,,03:05:55 05-Mar-2016,A,B,-63.9280,-56.9720,,,6,,401677469,-121,
"131120",131120,Mk10,DS,1,0,0,,,04:23:37 05-Mar-2016,N,B,-63.8700,-57.0430,,,8,,401677481,-133,
"131120",131120,Mk10,DS,1,0,1,,,04:29:20 05-Mar-2016,P,B,-63.8590,-57.0560,,,6,,401677471,-123,
"131120",131120,Mk10,DS,1,0,1,,,04:41:46 05-Mar-2016,A,B,-63.8600,-57.0550,,,6,,401677472,-129,
"131120",131120,Mk10,DS,1,0,1,,,04:41:46 05-Mar-2016,K,B,-63.8600,-57.0570,,,6,,401677476,-133,
"131120",131120,Mk10,DS,3,0,2,169,109,06:12:49 05-Mar-2016,P,A,-63.9180,-57.1490,,,8,,401677467,-126,
